6
0 0.000000000000e+00
-1.430112076167e-06 5.065634018200e-07 5.868392268508e-06
2.326648019708e-05 -1.035312885815e-05 1.039837355986e-04
-1.057361229267e-04 5.341369399942e-05 4.615338057955e-06
-3.158342367873e-06 -8.496884124504e-07 1.166569771645e-05
-5.459847395603e-06 3.738513691614e-05 1.223630262871e-05
6
22 6.600000000000e-01
1.459671696709e-06 -6.218654703749e-07 -1.164544824555e-06
-1.472642062390e-06 4.814733233594e-07 6.002162192960e-06
2.423655307267e-05 -1.075831864499e-05 1.084585089466e-04
-1.101602753615e-04 5.565293024605e-05 4.832302575621e-06
-3.351107480013e-06 -9.657207006371e-07 1.218639601950e-05
-5.698023732333e-06 3.918953612074e-05 1.269400587065e-05
6
23 6.900000000000e-01
1.384130560819e-06 -5.798946398632e-07 -1.009701944694e-06
-1.513229430485e-06 4.527812308838e-07 6.125371113944e-06
2.518692092849e-05 -1.115185065022e-05 1.128560988968e-04
-1.144913375880e-04 5.784564215082e-05 5.046176367603e-06
-3.546824249273e-06 -1.089301163880e-06 1.270152469092e-05
-5.933036878867e-06 4.099311786753e-05 1.313783871493e-05
6
24 7.200000000000e-01
1.304714060137e-06 -5.359788836743e-07 -8.484772313968e-07
-1.551933563527e-06 4.206419679444e-07 6.238518355749e-06
2.611678077484e-05 -1.153337168814e-05 1.171721183134e-04
-1.187252533257e-04 5.998977877779e-05 5.256493715258e-06
-3.745076848088e-06 -1.220245064286e-06 1.321064629122e-05
-6.164743992038e-06 4.279523466659e-05 1.356777105438e-05
6
25 7.500000000000e-01
1.222796464608e-06 -4.908045753699e-07 -6.828537272624e-07
-1.588810712482e-06 3.852052081521e-07 6.342087232722e-06
2.702542686028e-05 -1.190257818680e-05 1.214025703979e-04
-1.228584422841e-04 6.208352464902e-05 5.462800031676e-06
-3.945425875614e-06 -1.358338432898e-06 1.371332511000e-05
-6.393011038334e-06 4.459524169090e-05 1.398381613543e-05
6
26 7.800000000000e-01
1.139660772741e-06 -4.450169229779e-07 -5.147086868623e-07
-1.623914557121e-06 3.466150440997e-07 6.436543902057e-06
2.791226158064e-05 -1.225922082540e-05 1.255439027377e-04
-1.268878223712e-04 6.412531190748e-05 5.664653077535e-06
-4.147415725081e-06 -1.503342407310e-06 1.420913378316e-05
-6.617713743899e-06 4.639250383097e-05 1.438602756484e-05
6
27 8.100000000000e-01
1.056488150871e-06 -3.992115796805e-07 -3.457855517886e-07
-1.657296600292e-06 3.050101914103e-07 6.522337255880e-06
2.877679963770e-05 -1.260310512071e-05 1.295930302930e-04
-1.308108211377e-04 6.611382886371e-05 5.861625794265e-06
-4.350580805058e-06 -1.654997938939e-06 1.469765745237e-05
-6.838737441324e-06 4.818640012961e-05 1.477449434073e-05
6
28 8.400000000000e-01
9.743460071499e-07 -3.539289678490e-07 -1.776660731745e-07
-1.689006103878e-06 2.605245627809e-07 6.599898448343e-06
2.961866785924e-05 -1.293408871308e-05 1.335473394106e-04
-1.346253762996e-04 6.804802065940e-05 6.053308651085e-06
-4.554450651514e-06 -1.813030389144e-06 1.517849621883e-05
-7.055976679723e-06 4.997632845851e-05 1.514933693926e-05
6
29 8.700000000000e-01
8.941806464684e-07 -3.096525206090e-07 -1.176550282599e-08
-1.719089636746e-06 2.132868803482e-07 6.669638886670e-06
3.043760458648e-05 -1.325207962500e-05 1.374046901665e-04
-1.383299260102e-04 6.992708307785e-05 6.239310344618e-06
-4.758554880307e-06 -1.977153380146e-06 1.565126830880e-05
-7.269335175165e-06 5.176171008991e-05 1.551070430125e-05
6
30 9.000000000000e-01
8.168188524920e-07 -2.668088217338e-07 1.506572343733e-07
-1.747590647280e-06 1.634191514395e-07 6.731947512234e-06
3.123345863271e-05 -1.355703596168e-05 1.411634161357e-04
-1.419233911693e-04 7.175045423621e-05 6.419258370797e-06
-4.962428354812e-06 -2.147071892714e-06 1.611561468152e-05
-7.478725961560e-06 5.354199276961e-05 1.585877021591e-05
6
31 9.300000000000e-01
7.429736359948e-07 -2.257681690239e-07 3.084965595266e-07
-1.774549402097e-06 1.110352921017e-07 6.787188863971e-06
3.200618558840e-05 -1.384896380139e-05 1.448223137452e-04
-1.454051533583e-04 7.351780566153e-05 6.592800455291e-06
-5.165615740328e-06 -2.322485257223e-06 1.657120294908e-05
-7.684071492929e-06 5.531665291929e-05 1.619372948186e-05
6
32 9.600000000000e-01
6.732486792684e-07 -1.868462118683e-07 4.608039147614e-07
-1.800002956389e-06 5.624078879429e-08 6.835702665572e-06
3.275584133324e-05 -1.412791254858e-05 1.483806228145e-04
-1.487750302262e-04 7.522903035526e-05 6.759605845829e-06
-5.367674574499e-06 -2.503090498116e-06 1.701772826576e-05
-7.885303678695e-06 5.708519815652e-05 1.651579533050e-05
6
33 9.900000000000e-01
