################################################################################
# HEADER
# Iter             t               x(  1,  1)          x(  1,  2)          x(  1,  3)          x(  2,  1)          x(  2,  2)          x(  2,  3)          x(  3,  1)          x(  3,  2)          x(  3,  3)          x(  4,  1)          x(  4,  2)          x(  4,  3)          x(  5,  1)          x(  5,  2)          x(  5,  3)          x(  6,  1)          x(  6,  2)          x(  6,  3)          v(  1,  1)          v(  1,  2)          v(  1,  3)          v(  2,  1)          v(  2,  2)          v(  2,  3)          v(  3,  1)          v(  3,  2)          v(  3,  3)          v(  4,  1)          v(  4,  2)          v(  4,  3)          v(  5,  1)          v(  5,  2)          v(  5,  3)          v(  6,  1)          v(  6,  2)          v(  6,  3)          f(  1,  1)          f(  1,  2)          f(  1,  3)          f(  2,  1)          f(  2,  2)          f(  2,  3)          f(  3,  1)          f(  3,  2)          f(  3,  3)          f(  4,  1)          f(  4,  2)          f(  4,  3)          f(  5,  1)          f(  5,  2)          f(  5,  3)          f(  6,  1)          f(  6,  2)          f(  6,  3)     
#[Iter n.]      [hbar/H]      Positions in b, Velocities in bH(2pi/h), Forces in H/b
################################################################################
       0  0.000000000000e+00  BLA.255768100000e-01 -9.785004800000e-01 -2.557843300000e+00 -4.665156200000e-01  8.847492600000e-01  2.366122100000e+00  9.899921700000e-01 -1.135231700000e+00 -6.615829800000e-01 -1.041760600000e+00 -1.345398800000e-01 -2.414283800000e+00 -1.697467300000e+00  1.964763600000e-01  3.581111800000e+00 -7.757009000000e-01  2.561501800000e+00  2.538136300000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  0.000000000000e+00  1.884338333009e-01 -8.822162587564e-02 -2.269022026123e-01 -8.592334821271e-02  6.128234612540e-02  3.829530553296e-01  7.195002480376e-02 -3.293217947511e-02  3.161228646751e-01 -3.245941880558e-01  1.638403007793e-01  1.303673902967e-02 -7.590883804548e-03  1.885222939811e-04  3.506839019695e-02 -1.653772868181e-02  1.075959958395e-01  3.997728837229e-02
       1  3.000000000000e-02  6.255768129075e-01 -9.785004813612e-01 -2.557843303501e+00 -4.665156213258e-01  8.847492609456e-01  2.366122105909e+00  9.899921876235e-01 -1.135231708066e+00 -6.615829025687e-01 -1.041760679506e+00 -1.345398398689e-01 -2.414283796807e+00 -1.697467301859e+00  1.964763600462e-01  3.581111808590e+00 -7.757009040508e-01  2.561501826355e+00  2.538136309792e+00  1.931671694547e-07 -9.042000877625e-08 -2.325612981370e-07 -8.825736606624e-08  6.279858606144e-08  3.932299030150e-07  1.174559679001e-06 -5.375464126373e-07  5.160911240879e-06 -5.299148780257e-06  2.674757158007e-06  2.128988821218e-07 -1.240539939857e-07  2.901690348840e-09  5.725588698436e-07 -2.700114322231e-07  1.757082039991e-06  6.525054381519e-07  1.871404178582e-01 -8.758168056509e-02 -2.252659149976e-01 -8.567513957986e-02  6.081672485261e-02  3.816024681329e-01  7.190847276394e-02 -3.290578574492e-02  3.159786372466e-01 -3.244384626852e-01  1.637603762988e-01  1.303883112946e-02 -7.603083357038e-03  1.668728566049e-04  3.505785392445e-02 -1.653291017986e-02  1.076090609111e-01  3.994070444280e-02
       2  6.000000000000e-02  6.255768215900e-01 -9.785004854252e-01 -2.557843313954e+00 -4.665156252954e-01  8.847492637679e-01  2.366122123594e+00  9.899922404736e-01 -1.135231732253e+00 -6.615826703453e-01 -1.041760917949e+00 -1.345397195146e-01 -2.414283787226e+00 -1.697467307443e+00  1.964763601741e-01  3.581111834354e+00 -7.757009162007e-01  2.561501905425e+00  2.538136339150e+00  3.837250405964e-07 -1.795931652679e-07 -4.616676622279e-07 -1.760114603233e-07  1.246512016005e-07  7.837155942699e-07  2.347789279540e-06 -1.074248958976e-06  1.031727459945e-05 -1.059340575131e-05  5.347014871627e-06  4.258850412724e-07 -2.485083847476e-07  5.098029015302e-09  1.144779378990e-06 -5.398671684057e-07  3.514594469467e-06  1.303822644668e-06  1.833605837280e-01 -8.579737534488e-02 -2.201847864448e-01 -8.494483859640e-02  5.944309895129e-02  3.776174940137e-01  7.178711857380e-02 -3.282882386020e-02  3.155658461369e-01 -3.239950458113e-01  1.635341721759e-01  1.304742860336e-02 -7.639923865831e-03  1.021317638976e-04  3.502694823159e-02 -1.651865923914e-02  1.076487093675e-01  3.983175535176e-02
       3  9.000000000000e-02  6.255768359310e-01 -9.785004921368e-01 -2.557843331201e+00 -4.665156318865e-01  8.847492684246e-01  2.366122152932e+00  9.899923284908e-01 -1.135231772521e+00 -6.615822835322e-01 -1.041761315111e+00 -1.345395190480e-01 -2.414283771254e+00 -1.697467316770e+00  1.964763603521e-01  3.581111877276e+00 -7.757009364428e-01  2.561502037230e+00  2.538136388021e+00  5.691778632283e-07 -2.663508432989e-07 -6.838807619694e-07 -2.627838827607e-07  1.846545974004e-07  1.168833215443e-06  3.518481056621e-06 -1.609329777165e-06  1.546515271040e-05 -1.587858308421e-05  8.014665760800e-06  6.391056983370e-07 -3.737688657624e-07  5.890022790869e-09  1.716341591998e-06 -8.094169028713e-07  5.272976115901e-06  1.952786474820e-06  1.772146899167e-01 -8.288527425220e-02 -2.118633652610e-01 -8.376647849850e-02  5.722129338916e-02  3.711653482702e-01  7.159764354317e-02 -3.270715865156e-02  3.149393754733e-01 -3.233264007554e-01  1.631961386058e-01  1.306755212014e-02 -7.701812212429e-03 -5.129426193573e-06  3.497722669440e-02 -1.649543149908e-02  1.077155214409e-01  3.965246605520e-02
       4  1.200000000000e-01  6.255768557407e-01 -9.785005014063e-01 -2.557843354987e+00 -4.665156410625e-01  8.847492748472e-01  2.366122193724e+00  9.899924515824e-01 -1.135231828813e+00 -6.615817424362e-01 -1.041761870664e+00 -1.345392386346e-01 -2.414283748880e+00 -1.697467329869e+00  1.964763605275e-01  3.581111937334e+00 -7.757009647657e-01  2.561502221803e+00  2.538136456318e+00  7.471109433958e-07 -3.495004480326e-07 -8.959226571136e-07 -3.481387235784e-07  2.419818403183e-07  1.546171839025e-06  4.685655520231e-06 -2.142117631760e-06  2.060160883770e-05 -2.115151962956e-05  1.067617886164e-05  8.527816272027e-07 -5.002465661792e-07  4.590645442095e-09  2.286954172939e-06 -1.078518188258e-06  7.032671584585e-06  2.598271722108e-06  1.687399747863e-01 -7.878221106719e-02 -2.004089489627e-01 -8.218863961695e-02  5.423986427370e-02  3.624928162371e-01  7.135632272712e-02 -3.254798474779e-02  3.141668968656e-01 -3.224958105340e-01  1.627824240747e-01  1.310318968426e-02 -7.789007269184e-03 -1.540165725241e-04  3.491063856697e-02 -1.646373379615e-02  1.078096245583e-01  3.940570317812e-02
       5  1.500000000000e-01  6.255768807576e-01 -9.785005131069e-01 -2.557843384956e+00 -4.665156527748e-01  8.847492829436e-01  2.366122245702e+00  9.899926096302e-01 -1.135231901048e+00 -6.615810474357e-01 -1.041762584202e+00 -1.345388784772e-01 -2.414283720087e+00 -1.697467346785e+00  1.964763606275e-01  3.581112014494e+00 -7.757010011539e-01  2.561502459191e+00  2.538136543918e+00  9.151975658562e-07 -4.278806588852e-07 -1.094563114879e-06 -4.316974333141e-07  2.959096519891e-07  1.913611369332e-06  5.848548703056e-06 -2.672036066533e-06  2.572461584612e-05 -2.640973484654e-05  1.333040823852e-05  1.067169175991e-06 -6.283550127763e-07  5.299899365587e-10  2.856358860064e-06 -1.347036457720e-06  8.794123211699e-06  3.239204254342e-06  1.580702566762e-01 -7.361215843031e-02 -1.858069974938e-01 -8.027426712558e-02  5.061179111941e-02  3.519185758796e-01  7.107327800229e-02 -3.235571595202e-02  3.132921453909e-01 -3.215233521586e-01  1.623040378433e-01  1.315471037596e-02 -7.901543822149e-03 -3.433270794080e-04  3.482928547623e-02 -1.642402448881e-02  1.079306133753e-01  3.909485560818e-02
       6  1.800000000000e-01  6.255769106526e-01 -9.785005270791e-01 -2.557843420660e+00 -4.665156669643e-01  8.847492926018e-01  2.366122308540e+00  9.899928024954e-01 -1.135231989135e+00 -6.615801989592e-01 -1.041763455248e+00 -1.345384388101e-01 -2.414283684850e+00 -1.697467367571e+00  1.964763605593e-01  3.581112108716e+00 -7.757010455879e-01  2.561502749451e+00  2.538136650670e+00  1.071326951216e-06 -5.004779783830e-07 -1.276731311440e-06 -5.131492611056e-07  3.458366796451e-07  2.269376770759e-06  7.006480879135e-06 -3.198548698131e-06  3.083254237959e-05 -3.165073931094e-05  1.597616684441e-05  1.282502477336e-06 -7.585067834686e-07 -6.939777253296e-09  3.424331971786e-06 -1.614844254297e-06  1.055776118399e-05  3.874568005054e-06  1.454915605628e-01 -6.753855565593e-02 -1.683819891831e-01 -7.809223643015e-02  4.646115392297e-02  3.397948483338e-01  7.074870526011e-02 -3.213084653280e-02  3.123198604771e-01 -3.203878605906e-01  1.617449353810e-01  1.321902419157e-02 -8.039270869790e-03 -5.715600091962e-04  3.473530112764e-02 -1.637671602813e-02  1.080774051900e-01  3.872364627000e-02
       7  2.100000000000e-01  6.255769450373e-01 -9.785005431355e-01 -2.557843461560e+00 -4.665156835637e-01  8.847493036938e-01  2.366122381865e+00  9.899930300190e-01 -1.135232092961e+00 -6.615791974831e-01 -1.041764483246e+00 -1.345379199072e-01 -2.414283643137e+00 -1.697467392295e+00  1.964763602111e-01  3.581112219954e+00 -7.757010980445e-01  2.561503092656e+00  2.538136776392e+00  1.213716005653e-06 -5.664230755722e-07 -1.439762773159e-06 -5.922533351171e-07  3.912891355891e-07  2.612055752093e-06  8.158742116740e-06 -3.721121535686e-06  3.592366293730e-05 -3.687166146244e-05  1.861200048134e-05  1.498960299639e-06 -8.911110721033e-07 -1.843999851865e-08  3.990685629093e-06 -1.881820283157e-06  1.232399125199e-05  4.503409470022e-06  1.313549793756e-01 -6.067826588959e-02 -1.485995109506e-01 -7.570953767245e-02  4.191189700854e-02  3.264746951186e-01  7.037870904746e-02 -3.187317525028e-02  3.112337719709e-01 -3.190636973515e-01  1.610884409266e-01  1.329244019804e-02 -8.201924937512e-03 -8.369717006078e-04  3.463093686663e-02 -1.632215069185e-02  1.082480897880e-01  3.829601477911e-02
       8  2.400000000000e-01  6.255769834755e-01 -9.785005610645e-01 -2.557843507046e+00 -4.665157024995e-01  8.847493160791e-01  2.366122465264e+00  9.899932920199e-01 -1.135232212402e+00 -6.615780435394e-01 -1.041765667548e+00 -1.345373220901e-01 -2.414283594912e+00 -1.697467421037e+00  1.964763594529e-01  3.581112348157e+00 -7.757011584971e-01  2.561503488890e+00  2.538136920874e+00  1.340932931913e-06 -6.249690447242e-07 -1.581476145848e-06 -6.688357022453e-07  4.319181355270e-07  2.940592527433e-06  9.304582438240e-06 -4.239231319431e-06  4.099602803514e-05 -4.206936402728e-05  2.123631265524e-05  1.716671733066e-06 -1.026570261585e-06 -3.456153089327e-08  4.555267611624e-06 -2.147847107507e-06  1.409317873143e-05  5.124839685158e-06  1.159924448766e-01 -5.315245692289e-02 -1.269333033313e-01 -7.318929056717e-02  3.708292530065e-02  3.122982067412e-01  6.996228004875e-02 -3.158421767512e-02  3.100227168533e-01 -3.175439566912e-01  1.603338020083e-01  1.337256480429e-02 -8.388935304799e-03 -1.137572009147e-03  3.451830877225e-02 -1.626045873015e-02  1.084396249859e-01  3.781592630896e-02
       9  2.700000000000e-01  6.255770254932e-01 -9.785005806337e-01 -2.557843556449e+00 -4.665157236939e-01  8.847493296088e-01  2.366122558300e+00  9.899935882940e-01 -1.135232347315e+00 -6.615767377214e-01 -1.041767007408e+00 -1.345366457285e-01 -2.414283540136e+00 -1.697467453889e+00  1.964763581374e-01  3.581112493270e+00 -7.757012269154e-01  2.561503938247e+00  2.538137083882e+00  1.451878000852e-06 -6.755147243304e-07 -1.700158825198e-06 -7.427843256604e-07  4.674913077182e-07  3.254265716719e-06  1.044326842789e-05 -4.752389305908e-06  4.604762058741e-05 -4.724068318501e-05  2.384754913177e-05  1.935727005958e-06 -1.165271599195e-06 -5.585985877604e-08  5.117954662655e-06 -2.412807536704e-06  1.586563024749e-05  5.738034984454e-06  9.971766416732e-02 -4.512333093995e-02 -1.038210145393e-01 -7.058875899348e-02  3.208186882442e-02  2.975754768010e-01  6.950245605703e-02 -3.126668574796e-02  3.086895783894e-01 -3.158322929572e-01  1.594869470134e-01  1.345703185731e-02 -8.599018901300e-03 -1.471018686326e-03  3.439884819243e-02 -1.619154004061e-02  1.086478646240e-01  3.728741330792e-02
