6
0 0.000000000000e+00
6.499082828148e-02 -2.824925578983e-02 2.945926590090e-01
-2.968660032640e-01 1.500696132469e-01 1.380927624518e-02
-1.046257772340e-02 -4.465080000523e-03 3.332059960905e-02
-1.547984770504e-02 1.101190594823e-01 3.254535408149e-02
6
17 5.100000000000e-01
-2.695618740740e-02 1.765853219961e-02 7.979195319628e-02
-5.064391218066e-02 -6.672423695923e-03 1.824972172899e-01
6.411951075506e-02 -2.769446412000e-02 2.915751264001e-01
-2.929094293961e-01 1.480977986195e-01 1.377960308399e-02
-1.073861331444e-02 -4.946357455061e-03 3.311119107769e-02
-1.534031349947e-02 1.102643636835e-01 3.175711296602e-02
6
18 5.400000000000e-01
-3.871189258215e-02 2.349668865947e-02 9.728247746007e-02
-4.845181068632e-02 -1.090535087733e-02 1.699130249276e-01
6.318444659659e-02 -2.710784110678e-02 2.882453240045e-01
-2.886087016862e-01 1.459532103571e-01 1.372199751379e-02
-1.100473460442e-02 -5.430746972962e-03 3.288128887341e-02
-1.519045623380e-02 1.103793241471e-01 3.095047075078e-02
6
19 5.700000000000e-01
-4.904977723890e-02 2.863888101742e-02 1.128170484513e-01
-4.633351493927e-02 -1.496922336954e-02 1.578544253599e-01
6.218461101696e-02 -2.648976477340e-02 2.845917232904e-01
-2.839677405752e-01 1.436381620422e-01 1.363548894989e-02
-1.125721849673e-02 -5.915088968080e-03 3.262896373084e-02
-1.503034411487e-02 1.104608979390e-01 3.012876208134e-02
6
20 6.000000000000e-01
-5.792187610279e-02 3.305728424388e-02 1.263050614625e-01
-4.428568579053e-02 -1.886669376088e-02 1.463195667666e-01
6.112112500982e-02 -2.584139226007e-02 2.806149773026e-01
-2.789978772545e-01 1.411578837022e-01 1.351962063822e-02
-1.149271427516e-02 -6.396423785789e-03 3.235263737329e-02
-1.486021028826e-02 1.105068223002e-01 2.929535277367e-02
6
21 6.300000000000e-01
-6.530682727245e-02 3.673799692158e-02 1.376801910154e-01
-4.230455256914e-02 -2.260220157065e-02 1.353008189583e-01
5.999699111961e-02 -2.516474428544e-02 2.763255662164e-01
-2.737168862114e-01 1.385207351979e-01 1.337418402877e-02
-1.170827165408e-02 -6.872028288657e-03 3.205107474536e-02
-1.468036733735e-02 1.105153325756e-01 2.845335067835e-02
6
22 6.600000000000e-01
-7.120894127829e-02 3.968521180037e-02 1.469345647262e-01
-4.038635071620e-02 -2.618035012261e-02 1.247875767322e-01
5.881623643205e-02 -2.446235854051e-02 2.717386848469e-01
-2.681473831530e-01 1.357379235142e-01 1.319933973074e-02
-1.190134130276e-02 -7.339451082135e-03 3.172335656046e-02
-1.449115163333e-02 1.104850671723e-01 2.760552984913e-02
6
23 6.900000000000e-01
-7.566542471058e-02 4.191852699455e-02 1.541259043764e-01
-3.852752694736e-02 -2.960558480690e-02 1.147670968985e-01
5.758354666828e-02 -2.373691479467e-02 2.668722469415e-01
-2.623153220773e-01 1.328224960690e-01 1.299563608337e-02
-1.206978666800e-02 -7.796518667771e-03 3.136891371603e-02
-1.429294403544e-02 1.104152114361e-01 2.675452293553e-02
6
24 7.200000000000e-01
-7.874379947202e-02 4.346672398427e-02 1.593427411274e-01
-3.672478339613e-02 -3.288267158429e-02 1.052246891362e-01
5.630444287883e-02 -2.299127133850e-02 2.617480350645e-01
-2.562490112155e-01 1.297884884997e-01 1.276375118921e-02
-1.221192631287e-02 -8.241315011436e-03 3.098761853002e-02
-1.408623309152e-02 1.103056423347e-01 2.590301462145e-02
6
25 7.500000000000e-01
-8.052829466508e-02 4.436552546547e-02 1.626784579989e-01
-3.497532818390e-02 -3.601689639132e-02 9.614391569441e-02
5.498531362325e-02 -2.222864650828e-02 2.563920746255e-01
-2.499784409550e-01 1.266507037421e-01 1.250437034542e-02
-1.232655445086e-02 -8.672175965471e-03 3.057981045855e-02
-1.387160924843e-02 1.101568090493e-01 2.505363011124e-02
6
26 7.800000000000e-01
-8.111213991783e-02 4.465924674595e-02 1.642453552591e-01
-3.327695402640e-02 -3.901382444490e-02 8.750785573586e-02
5.363301607249e-02 -2.145246657164e-02 2.508327679957e-01
-2.435346395718e-01 1.234246671453e-01 1.221832057093e-02
-1.241289198838e-02 -9.087716761268e-03 3.014617228777e-02
-1.364967740897e-02 1.099694525857e-01 2.420868748141e-02
6
27 8.100000000000e-01
-8.060009753848e-02 4.439992183104e-02 1.641913047481e-01
